LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
11,Jul,1,09:12:20,authorMacBook-Pro,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,E58,<*>::setAwdlAutoMode Resuming AWDL,IO80211AWDLPeerManager::setAwdlAutoMode {mode} AWDL,152,24,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,158,25,IO80211AWDLPeerManager::setAwdlAutoMode {state},157,23,IO80211AWDLPeerManager::setAwdlAutoMode {action} AWDL,158,26,{class}::{method} {message},145,11,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,145,23,IO80211AWDLPeerManager::setAwdlAutoMode <*> AWDL,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,IO80211AWDLPeerManager::setAwdlAutoMode <*>,IO80211AWDLPeerManager::setAwdlAutoMode <*> AWDL,<*>::<*> <*>,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL
12,Jul,1,09:12:21,calvisitor-10-105-160-95,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,E50,<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {value},162,34,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {value},164,32,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {switchValue},163,33,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {switch_value},164,34,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {value},155,33,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {value},155,33,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
13,Jul,1,09:18:16,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs",E140,"ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs","ARPT: {timestamp}: wl0: MDNS: {srv_recs} SRV Recs, {txt_recs} TXT Recs",168,36,ARPT: {time} {interface}: {type}: {count},172,16,"ARPT: {timestamp}: {interface}: {service}: 0 {service} Recs, 0 {service} Recs",171,28,"ARPT: {time}: {interface}: MDNS: {num_SRV_Recs} SRV Recs, {num_TXT_Recs} TXT Recs",172,40,{class}: {time}: {interface}: {message},162,13,"ARPT: {interface}: {time}.{millisecond}.{microsecond} - {protocol}: {recv_count} recvs, {send_count} sends",162,40,"ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",ARPT: <*> <*>: <*>: <*>,"ARPT: <*>: <*>: <*>: <*> <*> Recs, <*> <*> Recs","ARPT: <*>: <*>: MDNS: <*> SRV Recs, <*> TXT Recs",<*>: <*>: <*>: <*>,"ARPT: <*>: <*> - <*>: <*> recvs, <*> sends"
14,Jul,1,09:19:03,calvisitor-10-105-160-95,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,E120,AppleCamIn::systemWakeCall - messageType = <*>,AppleCamIn::{method} - messageType = {messageType},153,16,AppleCamIn::systemWakeCall - messageType = 0x{messageType},158,21,AppleCamIn::systemWakeCall - messageType = {messageType},157,18,AppleCamIn::systemWakeCall - messageType = {messageType},158,18,{class}::systemWakeCall - messageType = {messageType},147,17,AppleCamIn::systemWakeCall - messageType = {messageType},147,17,AppleCamIn::<*> - messageType = <*>,AppleCamIn::systemWakeCall - messageType = <*>,AppleCamIn::systemWakeCall - messageType = <*>,AppleCamIn::systemWakeCall - messageType = <*>,<*>::systemWakeCall - messageType = <*>,AppleCamIn::systemWakeCall - messageType = <*>
15,Jul,1,09:19:03,authorMacBook-Pro,configd,53,,"setting hostname to ""authorMacBook-Pro.local""",E311,"setting hostname to ""<*>""","setting hostname to ""{hostname}""",143,8,"Setting hostname to ""{hostname}""",147,8,"setting hostname to ""{hostname}""",146,8,"setting hostname to ""{hostname}""",147,8,"setting hostname to ""{hostname}""",137,11,"setting hostname to ""{hostname}""",137,11,"setting hostname to ""<*>","Setting hostname to ""<*>","setting hostname to ""<*>","setting hostname to ""<*>","setting hostname to ""<*>","setting hostname to ""<*>"
16,Jul,1,09:19:13,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.","com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {seconds} seconds.  Ignoring.'
*/

#include <string>
#include <vector>
#include <iostream>
#include <algorithm>
#include <regex>
#include <map>
#include <set>
#include <stack>
#include <queue>
#include <unordered_map>
#include <unordered_set>
#include <cmath>
#include <cstring>
#include <ctime>
#include <cstdlib>
#include <sstream>
#include <cstdio>
#include <functional>
#include <bitset>
#include <deque>
#include <list>
#include <climits>
#include <cctype>
#include <cassert>
#include <numeric>
#include <iomanip>
#include <utility>
#include <iterator>
#include <locale>
#include <limits>
",179,256,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn\'t for {time} seconds.  Ignoring.",185,49,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn\'t for {start_time} seconds.  Ignoring.",184,51,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn\'t for {time} seconds.  Ignoring.",185,49,"{class}: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {time} seconds. Ignoring.",173,36,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {startTime} seconds.  Ignoring.",173,48,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.' */ #include <string> #include <vector> #include <iostream> #include <algorithm> #include <regex> #include <map> #include <set> #include <stack> #include <queue> #include <unordered_map> #include <unordered_set> #include <cmath> #include <cstring> #include <ctime> #include <cstdlib> #include <sstream> #include <cstdio> #include <functional> #include <bitset> #include <deque> #include <list> #include <climits> #include <cctype> #include <cassert> #include <numeric> #include <iomanip> #include <utility> #include <iterator> #include <locale> #include <limits>","com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn\'t for <*> seconds. Ignoring.","com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn\'t for <*> seconds. Ignoring.","com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn\'t for <*> seconds. Ignoring.","<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.","com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
17,Jul,1,09:21:57,authorMacBook-Pro,corecaptured,31174,,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,E175,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams {streams},146,19,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams {streams},150,19,CCIOReporterFormatter::addRegistryChildToChannelDictionary - streams = {streams},149,21,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams {streams},150,19,{class}::addRegistryChildToChannelDictionary streams {streams},139,16,CCIOReporterFormatter::addRegistryChildToChannelDictionary {streams},139,17,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,CCIOReporterFormatter::addRegistryChildToChannelDictionary - streams = <*>,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,<*>::addRegistryChildToChannelDictionary streams <*>,CCIOReporterFormatter::addRegistryChildToChannelDictionary <*>
18,Jul,1,09:21:58,calvisitor-10-105-160-95,com.apple.WebKit.WebContent,25654,,[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,E13,[<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,"{{time}} <<<< CRABS >>>> crabsFlumeHostAvailable: [{address}] Byte flume reports host available again.'

The template of '0x03000104 - 0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0",178,256,[time] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x{host}],184,25,[timestamp] <<<< {flumeHost} >>>> {flumeReportsHostAvailable},183,21,[{time}] <<<< CRABS >>>> crabsFlumeHostAvailable: [{address}] Byte flume reports host available again.,184,30,[{time}] <<<< {name} >>>> {function}: [{pointer}] {message},173,21,[{{timestamp}}] <<<< {{appName}} >>>> {{message}},173,18,{<*>} <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.' The template of '0x03000104 - 0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0x03000104/0,[time] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>],[timestamp] <<<< <*> >>>> <*>,[<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,[<*>] <<<< <*> >>>> <*>: [<*>] <*>,[{<*>}] <<<< {<*>} >>>> {<*>}
19,Jul,1,09:22:02,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.","com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {time} seconds.  Ignoring.'

The template of 'com.apple.CoreSimulator.SimDevice.CoreSimulatorService: Ignoring device 0x0 as it is not in the device list' is 'com.apple.CoreSimulator.SimDevice.CoreSimulatorService: Ignoring device {device} as it is not in the device list",179,119,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn\'t for {time}.  Ignoring.",184,48,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn\'t for {time}.  Ignoring.",183,48,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {seconds}.  Ignoring.",184,48,{class}: {message},172,7,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {seconds} seconds.  Ignoring.",172,48,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.' The template of 'com.apple.CoreSimulator.SimDevice.CoreSimulatorService: Ignoring device 0x0 as it is not in the device list' is 'com.apple.CoreSimulator.SimDevice.CoreSimulatorService: Ignoring device <*> as it is not in the device list","com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn\'t for <*>. Ignoring.","com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn\'t for <*>. Ignoring.","com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*>. Ignoring.",<*>: <*>,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
20,Jul,1,09:22:25,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,E58,<*>::setAwdlAutoMode Resuming AWDL,IO80211AWDLPeerManager::setAwdlAutoMode {mode} AWDL,152,24,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,158,25,IO80211AWDLPeerManager::setAwdlAutoMode {state},157,23,IO80211AWDLPeerManager::setAwdlAutoMode {action} AWDL,158,26,{class}::{method} {message},145,11,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,145,23,IO80211AWDLPeerManager::setAwdlAutoMode <*> AWDL,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,IO80211AWDLPeerManager::setAwdlAutoMode <*>,IO80211AWDLPeerManager::setAwdlAutoMode <*> AWDL,<*>::<*> <*>,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL
21,Jul,1,09:23:26,calvisitor-10-105-160-95,kernel,0,,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,E109,AirPort: Link Down on awdl0. Reason <*> (Unspecified).,AirPort: Link Down on {interface}. Reason {reason} (Unspecified).,149,20,AirPort: Link Down on {device}. Reason {reason},154,16,AirPort: Link {reason} on {interface}.,153,13,AirPort: Link Down on {interface}. Reason {reason} ({reason_description}).,154,21,{class}: Link Down on {interface}. Reason {reason} ({detail}).,143,20,AirPort: Link Down on {macAddress} Reason {reason},143,15,AirPort: Link Down on <*>. Reason <*> (Unspecified).,AirPort: Link Down on <*>. Reason <*>,AirPort: Link <*> on <*>.,AirPort: Link Down on <*>. Reason <*> (<*>).,<*>: Link Down on <*>. Reason <*> (<*>).,AirPort: Link Down on <*> Reason <*>
