LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,token_num,j2_mid_output,j2_ultra_output,j2_mid_template,j2_ultra_template
37,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_0 not found, computing it",E19,"Partition <*> not found, computing it",71,"Partition {partition} not found, computing it","Partition {rdd_name}_{partition_id} not found, computing it'
Could you please provide me with the log message you would like me to process and abstract?","Partition <*> not found, computing it","Partition <*> not found, computing it' Could you please provide me with the log message you would like me to process and abstract?"
38,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_2 not found, computing it",E19,"Partition <*> not found, computing it",71,"Partition {partition} not found, computing it","Partition {rdd_name}_{partition_id} not found, computing it","Partition <*> not found, computing it","Partition <*> not found, computing it"
39,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_4 not found, computing it",E19,"Partition <*> not found, computing it",71,"Partition {partition} not found, computing it","Partition {rdd_name}_{partition} not found, computing it","Partition <*> not found, computing it","Partition <*> not found, computing it"
40,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:21876+7292,E12,Input split: <*>,94,"Input split: {input_split}'
Started reading broadcast variable {variable}","Input split: {input_split}:{start_offset}+{size}'
Could you please provide me with the log message you would like me to parse and abstract?",Input split: <*>' Started reading broadcast variable <*>,Input split: <*>+<*>' Could you please provide me with the log message you would like me to parse and abstract?
41,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292,E12,Input split: <*>,94,"Input split: {input_split}'
Started reading broadcast variable {variable}","Input split: {input_split}:{start_offset}+{size}'
Could you please provide me with the log message you would like me to process and abstract?",Input split: <*>' Started reading broadcast variable <*>,Input split: <*>+<*>' Could you please provide me with the log message you would like me to process and abstract?
42,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:0+7292,E12,Input split: <*>,93,"Input split: {input_split}'
Started reading broadcast variable {variable}","Input split: {input_split}:{input_split_offset}+{input_split_length}'
Could you please provide me with the log message you would like me to process and abstract?",Input split: <*>' Started reading broadcast variable <*>,Input split: <*>+<*>' Could you please provide me with the log message you would like me to process and abstract?
43,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292,E12,Input split: <*>,94,"Input split: {input_split}'
Started reading broadcast variable {variable}","Input split: {input_split}:{start_offset}+{end_offset}'
Please provide me with the log message you would like me to analyze and format.",Input split: <*>' Started reading broadcast variable <*>,Input split: <*>+<*>' Please provide me with the log message you would like me to analyze and format.
44,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:29168+7292,E12,Input split: <*>,94,"Input split: {input_split}'
Started reading broadcast variable {variable}","Input split: {input_split}:{start_offset}+{size}'
Please provide me with the log message you would like me to analyze and abstract.",Input split: <*>' Started reading broadcast variable <*>,Input split: <*>+<*>' Please provide me with the log message you would like me to analyze and abstract.
45,17/06/09,20:10:46,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 8,E29,Started reading broadcast variable <*>,66,"Started reading broadcast variable {variable}'
Started reading broadcast variable {variable}",Started reading broadcast variable {variable},Started reading broadcast variable <*>' Started reading broadcast variable <*>,Started reading broadcast variable <*>
46,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_8_piece0 stored as bytes in memory (estimated size 21.4 KB, free 35.4 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",88,"Block broadcast_8_piece0 stored as bytes in memory (estimated size {size} KB, free {free_space} KB)","Block {block} stored as {type} in memory (estimated size {size}, free {free})'
Could you please provide me with the log message you would like me to process and abstract?","Block broadcast_8_piece0 stored as bytes in memory (estimated size <*> KB, free <*> KB)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)' Could you please provide me with the log message you would like me to process and abstract?"
47,17/06/09,20:10:46,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 8 took 19 ms,E20,Reading broadcast variable <*> took <*> ms,69,"Reading broadcast variable {variable} took {time}'
Started reading broadcast variable 9
Reading broadcast variable 8 took 19 ms
Based on the provided log messages, the dynamic variables appear to be the broadcast variable being read and the time taken for the read operation.

The static log template would be:

""Started reading broadcast variable {variable}""
""Reading broadcast variable {variable} took {time}""",Reading broadcast variable {variable} took {time} ms,"would be: ""Started reading broadcast variable <*>"" ""Reading broadcast variable <*> took <*>",Reading broadcast variable <*> took <*> ms
48,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_8 stored as values in memory (estimated size 281.6 KB, free 317.0 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)",85,"Block broadcast_8 stored as values in memory (estimated size {size}, free {free_space} KB)","Block broadcast_8 stored as values in memory (estimated size {size} KB, free {free} KB)","Block broadcast_8 stored as values in memory (estimated size <*>, free <*> KB)","Block broadcast_8 stored as values in memory (estimated size <*> KB, free <*> KB)"
49,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",E17,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",75,"Deprecate {tip}'
Started reading broadcast variable {variable}.
Deprecate {tip}.","mapred.tip.id is deprecated. Instead, use mapreduce.task.id",Deprecate <*>' Started reading broadcast variable <*>. Deprecate <*>.,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id"
50,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",E14,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",77,"Deprecate {variable}'
Started reading broadcast variable {variable}","mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",Deprecate <*>' Started reading broadcast variable <*>,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id"
51,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",E15,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",77,"Deprecate {task}'
Started reading broadcast variable {variable}","mapred.task.is.{task} is deprecated. Instead, use mapreduce.task.{task}'
Could you please provide me with the log message you would like me to abstract?",Deprecate <*>' Started reading broadcast variable <*>,"mapred.task.is.<*> is deprecated. Instead, use mapreduce.task.<*>' Could you please provide me with the log message you would like me to abstract?"
52,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",E13,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",75,"Deprecate {variable}'
Started reading broadcast variable {variable}","mapred.job.id is deprecated. Instead, use mapreduce.job.id'
The template of 'The variable {variable} is {type}' is 'The variable {variable} is {type}",Deprecate <*>' Started reading broadcast variable <*>,of 'The variable <*> is <*>' is 'The variable <*> is <*>
53,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",E16,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",77,"Deprecate {variable}'
Started reading broadcast variable {variable}","mapred.task.{variable} is deprecated. Instead, use mapreduce.task.{variable}",Deprecate <*>' Started reading broadcast variable <*>,"mapred.task.<*> is deprecated. Instead, use mapreduce.task.<*>"
54,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 0,E29,Started reading broadcast variable <*>,66,"Started reading broadcast variable'
Started reading broadcast variable {variable}",Started reading broadcast variable {variable},Started reading broadcast variable' Started reading broadcast variable <*>,Started reading broadcast variable <*>
55,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_0_piece0 stored as bytes in memory (estimated size 93.0 B, free 317.1 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",88,"Block broadcast_0_piece0 stored as bytes in memory (estimated size {size}, free {free_space} KB)","Block {block} stored as {type} in memory (estimated size {size}, free {free})","Block broadcast_0_piece0 stored as bytes in memory (estimated size <*>, free <*> KB)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
56,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 0 took 21 ms,E20,Reading broadcast variable <*> took <*> ms,69,"Reading broadcast variable {variable} took {time}'
Started reading broadcast variable 9
Reading broadcast variable 0 took 21 ms
Based on the provided log messages, we can abstract the dynamic variables and come up with the following static log templates:

1. Started reading broadcast variable {variable}
2. Reading broadcast variable {variable} took {time}

Using these templates, we can generate the static log messages:

* Started reading broadcast variable 9
* Reading broadcast variable 0 took 21 ms",Reading broadcast variable {variable} took {time} ms,s: <*>. Started reading broadcast variable <*> <*>. Reading broadcast variable <*> took <*> Using these,Reading broadcast variable <*> took <*> ms
57,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_0 stored as values in memory (estimated size 384.0 B, free 317.5 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)",85,"Block broadcast_0 stored as values in memory (estimated size {size} B, free {free_space} KB)","Block broadcast_0 stored as values in memory (estimated size {size} B, free {free} KB)","Block broadcast_0 stored as values in memory (estimated size <*> B, free <*> KB)","Block broadcast_0 stored as values in memory (estimated size <*> B, free <*> KB)"
58,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 4,E29,Started reading broadcast variable <*>,66,"Started reading broadcast variable {variable}'
Started reading broadcast variable {variable}",Started reading broadcast variable {variable},Started reading broadcast variable <*>' Started reading broadcast variable <*>,Started reading broadcast variable <*>
59,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_4_piece0 stored as bytes in memory (estimated size 95.0 B, free 317.6 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",88,"Block broadcast_4_piece0 stored as bytes in memory (estimated size {size} B, free {free_space} KB)","Block {block} stored as {type} in memory (estimated size {size}, free {free})","Block broadcast_4_piece0 stored as bytes in memory (estimated size <*> B, free <*> KB)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
60,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 4 took 18 ms,E20,Reading broadcast variable <*> took <*> ms,69,"Reading broadcast variable {variable} took {time}'
Started reading broadcast variable 9
Reading broadcast variable 4 took 18 ms
Based on the provided log messages, we can abstract the dynamic variables and come up with the following static log templates:

1. Started reading broadcast variable {variable}
2. Reading broadcast variable {variable} took {time}.","Reading broadcast variable {variable} took {time}'
Please provide me with the log message you would like me to process and abstract.",s: <*>. Started reading broadcast variable <*> <*>. Reading broadcast variable <*> took <*>.,Reading broadcast variable <*> took <*>' Please provide me with the log message you would like me to process and abstract.
61,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_4 stored as values in memory (estimated size 384.0 B, free 318.0 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)",85,"Block broadcast_4 stored as values in memory (estimated size {size} B, free {free_space} KB)","Block broadcast_4 stored as values in memory (estimated size {size}, free {free})","Block broadcast_4 stored as values in memory (estimated size <*> B, free <*> KB)","Block broadcast_4 stored as values in memory (estimated size <*>, free <*>)"
62,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 3,E29,Started reading broadcast variable <*>,66,"Started reading broadcast variable {variable}'
Started reading broadcast variable {variable}",Started reading broadcast variable {variable},Started reading broadcast variable <*>' Started reading broadcast variable <*>,Started reading broadcast variable <*>
63,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_3_piece0 stored as bytes in memory (estimated size 152.0 B, free 318.1 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",88,"Block broadcast_3_piece0 stored as bytes in memory (estimated size {size}, free {free_space} KB)","Block {block} stored as {storage} in memory (estimated size {size}, free {free})","Block broadcast_3_piece0 stored as bytes in memory (estimated size <*>, free <*> KB)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
