LineId,LogId,Node,Component,State,Time,Flag,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
11,401855,node-187,unix.hw,state_change.unavailable,1142553646,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042{component}\042 is in the unavailable state (HWID={hwid}),86,29,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\0344159\034),87,38,Component State Change: Component {0} is in the unavailable state (HWID={1}),86,21,Component State Change: Component <component> is in the <state> state (HWID=<hwid>),87,24,Component State Change: Component {component_name} is in the {state} state (HWID={hwid}),85,26,Component State Change: Component alt0 is in the unavailable state (HWID=4159),85,22,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\0344159\034),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <component> is in the <state> state (HWID=<hwid>),Component State Change: Component <*> is in the <*> state (HWID=<*>),Component State Change: Component alt0 is in the unavailable state (HWID=<*>)
12,460773,node-199,unix.hw,state_change.unavailable,1145552100,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component {0} is in the unavailable state (HWID={1}),86,21,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\034\034),87,34,Component State Change: Component {0} is in the unavailable state (HWID={1}),86,21,Component State Change: Component {component_name} is in the {state} state (HWID={hwid}),87,25,Component State Change: Component \042{component}\042 is in the {state} state (HWID={hwid}),85,31,Component State Change: Component alt0 is in the unavailable state (HWID=2608),85,22,Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=\034\034),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <*> is in the <*> state (HWID=<*>),Component State Change: Component <*> is in the <*> state (HWID=<*>),Component State Change: Component alt0 is in the unavailable state (HWID=<*>)
13,2568643,node-70,action,start,1074119817,1,clusterAddMember  (command 1902),E8,clusterAddMember (command <*>),clusterAddMember {command},68,7,clusterAddMember  command 1902,69,11,clusterAddMember,68,4,clusterAddMember  (command {placeholder}),69,10,clusterAddMember  {command},68,8,{clusterName} Add Member (command {command}),68,13,clusterAddMember <*>,clusterAddMember command <*>,clusterAddMember,clusterAddMember (command <*>),clusterAddMember <*>,<*> Add Member (command <*>)
14,2570772,node-124,action,start,1074123150,1,clusterAddMember  (command 1900),E8,clusterAddMember (command <*>),clusterAddMember  (command {command_id}),68,12,clusterAddMember  command  ,69,7,clusterAddMember  (command 1900),68,13,clusterAddMember  (command {}),69,9,clusterAddMember [member],68,8,clusterAddMember  (command {{ command }}),68,12,clusterAddMember (command <*>),clusterAddMember command,clusterAddMember (command <*>),clusterAddMember (command <*>),clusterAddMember [member],clusterAddMember (command {<*>})
15,2571927,node-28,action,start,1074125371,1,risBoot  (command 1903),E36,risBoot (command <*>),risBoot  ({command}),67,7,risBoot (command 1903),68,11,risBoot  (command 1903),67,12,risBoot  ({}),68,6,risBoot {command},67,6,risBoot (command {{command}}),67,9,risBoot (<*>),risBoot (command <*>),risBoot (command <*>),risBoot (<*>),risBoot <*>,risBoot (command {<*>})
16,2572286,node-17,action,start,1074126278,1,bootGenvmunix  (command 1903),E6,bootGenvmunix (command <*>),bootGenvmunix  (command {command}),70,12,bootGenvmunix command ,71,7,bootGenvmunix  (command 1903),70,15,bootGenvmunix  ({command}),71,10,{cmd} ({cmd_num}),70,10,{command} ({time}),70,8,bootGenvmunix (command <*>),bootGenvmunix command,bootGenvmunix (command <*>),bootGenvmunix (<*>),<*> (<*>),<*> (<*>)
17,2575909,node-162,action,start,1074178193,1,boot  (command 1911),E4,boot (command <*>),boot  (command {command_id}),66,10,boot  command 1911,67,9,boot  (command 1911),66,11,boot {command},67,5,boot  (command {command}),66,9,boot [command],66,6,boot (command <*>),boot command <*>,boot (command <*>),boot <*>,boot (command <*>),boot [command]
18,2576195,node-181,action,start,1074178628,1,boot  (command 1910),E4,boot (command <*>),boot  (command {command_id}),66,10,boot (command 1910),67,10,boot {command},66,5,boot  ({command}),67,6,boot ({cmd}),66,6,{command} (command {command_index}),66,12,boot (command <*>),boot (command <*>),boot <*>,boot (<*>),boot (<*>),<*> (command <*>)
19,2599298,node-198,action,start,1074297419,1,boot  (command 1978),E4,boot (command <*>),boot  {command},66,6,boot (command 1978),67,10,boot {placeholders},66,7,boot  (command {}),67,7,boot ({command}),66,6,boot  {command},66,6,boot <*>,boot (command <*>),boot <*>,boot (command <*>),boot (<*>),boot <*>
20,2600743,node-57,action,start,1074298084,1,boot  (command 1967),E4,boot (command <*>),boot  (command {command_id}),66,10,boot (command 1967),67,10,boot {command},66,5,boot {command},67,5,boot (command {0}),66,8,{cmd} {state},66,7,boot (command <*>),boot (command <*>),boot <*>,boot <*>,boot (command <*>),<*> <*>
21,2601401,node-184,action,start,1074298390,1,wait  (command 1975),E45,wait (command <*>),wait  {command},66,6,wait (command 1975),67,10,wait  (command 1975),66,11,wait  ({command}),67,6,wait  ({command}),66,7,wait  (command {{command}}),66,9,wait <*>,wait (command <*>),wait (command <*>),wait (<*>),wait (<*>),wait (command {<*>})
22,2612635,node-88,action,start,1074535847,1,boot  (command 1999),E4,boot (command <*>),boot  {command},66,6,boot command 1999,67,8,boot {command} {year},66,8,boot {command},67,5,boot (command {command_id}),66,10,{cmd},66,4,boot <*>,boot command <*>,boot <*> <*>,boot <*>,boot (command <*>),<*>
23,2608062,node-238,action,start,1074461014,1,halt  (command 1982),E19,halt (command <*>),halt  {command},66,6,halt command 1982,67,8,halt,66,2,halt ({command}),67,5,halt  ({command}),67,8,{halt_time} (command {command}),67,13,halt <*>,halt command <*>,halt,halt (<*>),halt (<*>),<*> (command <*>)
24,2607813,node-243,action,start,1074459063,1,boot  (command 1981),E4,boot (command <*>),boot  {command},66,6,boot command 1981,67,8,boot {command},66,5,boot {command},67,5,boot ({cmd}),66,6,boot (command 1981),66,10,boot <*>,boot command <*>,boot <*>,boot <*>,boot (<*>),boot (command <*>)
25,2600616,node-152,action,start,1074298056,1,boot  (command 1973),E4,boot (command <*>),boot  {command},66,6,booting command 1973,67,9,boot {command},66,5,boot <command>,67,5,boot  ({command}),66,7,boot (command 1973),66,10,boot <*>,booting command <*>,boot <*>,boot <command>,boot (<*>),boot (command <*>)
26,2601430,node-159,action,start,1074298398,1,wait  (command 1973),E45,wait (command <*>),wait  {command},66,6,wait (command 1973),67,10,wait  (command 1973),66,11,wait  (command {}),67,7,wait  ({command}),66,7,{hostname} {ip} {user} {password} {command},66,17,wait <*>,wait (command <*>),wait (command <*>),wait (command <*>),wait (<*>),<*> <*> <*> <*> <*>
27,3515,node-216,action,start,1075629790,1,wait  (command 2057),E45,wait (command <*>),wait  {command},66,6,waiting for command 2057 to finish...,67,13,wait  (command 2057),66,11,waiting for command <number>,67,8,wait ({placeholders}) (command {placeholders}),66,13,{time} running command {command},66,9,wait <*>,waiting for command <*> to finish...,wait (command <*>),waiting for command <number>,wait (<*>) (command <*>),<*> running command <*>
28,41108,node-93,action,start,1076538873,1,boot  (command 2152),E4,boot (command <*>),boot  (command {command_id}),66,10,boot  (command 2152),67,11,boot {command},66,5,boot <pid> (command <pid>),67,10,boot ({cmd}),66,6,boot (command {{command}}),66,8,boot (command <*>),boot (command <*>),boot <*>,boot <pid> (command <pid>),boot (<*>),boot (command {<*>})
29,39962,node-134,action,start,1076538533,1,wait  (command 2154),E45,wait (command <*>),wait  {command},66,6,wait (command 2154),67,10,wait  (command 2154),66,11,wait  (command {}),67,7,wait  ({command}),66,7,wait (command 2154),66,10,wait <*>,wait (command <*>),wait (command <*>),wait (command <*>),wait (<*>),wait (command <*>)
30,38426,node-17,action,start,1076537141,1,boot  (command 2141),E4,boot (command <*>),boot  {command},66,6,booting command 2141,67,9,boot {command},66,5,boot {0},67,5,boot ({command}),66,6,{command},66,4,boot <*>,booting command <*>,boot <*>,boot <*>,boot (<*>),<*>
31,33697,node-251,action,start,1076435713,1,boot  (command 2110),E4,boot (command <*>),boot  (command {command_id}),66,10,booting command 2110,67,9,boot  (command 2110),66,11,boot  (command {placeholder}),67,8,boot  ({command}),66,7,boot (command 2110),66,10,boot (command <*>),booting command <*>,boot (command <*>),boot (command <*>),boot (<*>),boot (command <*>)
32,46302,node-114,action,start,1076546290,1,boot  (command 2160),E4,boot (command <*>),boot  (command {command_id}),66,10,booting command 2160,67,9,boot {command},66,5,boot  ({command}),67,6,boot  (command {}),66,8,{command} (command {index}),66,10,boot (command <*>),booting command <*>,boot <*>,boot (<*>),boot (command <*>),<*> (command <*>)
33,76306,node-57,action,start,1077204892,1,halt  (command 2221),E19,halt (command <*>),halt  {command},66,6,halting,67,3,halt [command] [number],66,8,"halt {command}'

In this case, the command is a placeholder that can be any integer.",67,22,halt  ({command}),67,8,halt (command 2221),67,11,halt <*>,halting,halt [command] [number],"halt <*>' In this case, the command is a placeholder that can be any integer.",halt (<*>),halt (command <*>)
34,75035,node-116,action,start,1077172847,1,wait  (command 2217),E45,wait (command <*>),wait  {command},66,6,waiting for command 2217 to finish...,67,13,waiting for command 2217,66,10,wait  ({command}),67,6,wait  ({command}),66,7,wait (command {{command}}),66,8,wait <*>,waiting for command <*> to finish...,waiting for command <*>,wait (<*>),wait (<*>),wait (command {<*>})
35,75026,node-119,action,start,1077172842,1,wait  (command 2217),E45,wait (command <*>),wait  {command},66,6,waiting for command 2217 to finish...,67,13,waiting for command 2217,66,10,wait  ({command}),67,6,wait  ({command}),66,7,wait (command {{command}}),66,8,wait <*>,waiting for command <*> to finish...,waiting for command <*>,wait (<*>),wait (<*>),wait (command {<*>})
36,66410,node-226,action,start,1076874863,1,wait  (command 2201),E45,wait (command <*>),wait  {command},66,6,waiting for command 2201 to complete...,67,13,wait  (command 2201),66,11,wait {placeholder},67,5,wait  ({command}),66,7,wait  (command <number>),66,9,wait <*>,waiting for command <*> to complete...,wait (command <*>),wait <*>,wait (<*>),wait (command <number>)
37,64231,node-224,action,start,1076871482,1,wait  (command 2199),E45,wait (command <*>),wait  {command},66,6,waiting for command 2199 to complete...,67,13,wait  (command 2199),66,11,wait  (command {}),67,7,wait (command <number>),66,8,{current_state} {command},66,9,wait <*>,waiting for command <*> to complete...,wait (command <*>),wait (command <*>),wait (command <number>),<*> <*>
38,61193,node-25,action,start,1076865929,1,boot  (command 2183),E4,boot (command <*>),boot  {command},66,6,boot  (command 2183),67,11,boot  (command 2183),66,11,boot <pid>,67,5,boot ({cmd}),66,6,boot  (command {command}),66,9,boot <*>,boot (command <*>),boot (command <*>),boot <pid>,boot (<*>),boot (command <*>)
39,59888,node-105,action,start,1076865608,1,wait  (command 2189),E45,wait (command <*>),wait  {command},66,6,waiting for command 2189 to complete...,67,13,wait  (command 2189),66,11,wait  ,67,3,wait ({placeholder}) (command {placeholder}),66,11,{hostname} [{service}] {process_id} {command} {args} {exit_code} {duration},66,28,wait <*>,waiting for command <*> to complete...,wait (command <*>),wait,wait (<*>) (command <*>),<*> [<*>] <*> <*> <*> <*> <*>
40,106268,node-178,action,start,1077739942,1,wait  (command 2302),E45,wait (command <*>),wait  {command},66,6,waiting for command 2302 to finish...,67,13,waiting for command 2302,66,10,waiting for command {},67,6,wait  ({command}),66,7,wait (command {command}),66,8,wait <*>,waiting for command <*> to finish...,waiting for command <*>,waiting for command <*>,wait (<*>),wait (command <*>)
41,95046,node-118,action,start,1077647123,1,wait  (command 2270),E45,wait (command <*>),wait  ({command}),66,6,waiting for command 2270 to complete...,67,13,waiting,66,3,wait  ({command}),67,6,wait ({cmd_id}),66,8,wait  (command 2270),66,11,wait (<*>),waiting for command <*> to complete...,waiting,wait (<*>),wait (<*>),wait (command <*>)
42,93084,node-239,action,start,1077645240,1,wait  (command 2257),E45,wait (command <*>),wait  {command},66,6,wait (command 2257),67,10,waiting (command 2257),66,11,wait  ({}),67,5,wait  ({command}),66,7,{placeholders.wait.1},66,9,wait <*>,wait (command <*>),waiting (command <*>),wait (<*>),wait (<*>),<*>
43,93083,node-242,action,start,1077645240,1,boot  (command 2257),E4,boot (command <*>),boot  (command {command_id}),66,10,boot  command 2257,67,9,boot {command_number} {command_name},66,12,boot {command},67,5,boot  ({command}),66,7,{command} (state {state}),66,10,boot (command <*>),boot command <*>,boot <*> <*>,boot <*>,boot (<*>),<*> (state <*>)
44,137423,node-28,action,start,1077809713,1,boot  (command 2316),E4,boot (command <*>),boot  (command {command_id}),66,10,boot (command 2316),67,10,boot {command},66,5,boot <command>,67,5,boot ({command}),66,6,boot (command 2316),66,10,boot (command <*>),boot (command <*>),boot <*>,boot <command>,boot (<*>),boot (command <*>)
45,138728,node-25,action,start,1077810165,1,boot  (command 2316),E4,boot (command <*>),boot  (command {command_id}),66,10,boot (command 2316),67,10,boot {command},66,5,boot <command>,67,5,boot ({command}),66,6,boot (command 2316),66,10,boot (command <*>),boot (command <*>),boot <*>,boot <command>,boot (<*>),boot (command <*>)
46,139640,node-120,action,start,1077810494,1,wait  (command 2322),E45,wait (command <*>),wait  {command},66,6,wait  (command 2322),67,11,waiting (command 2322),66,11,waiting for command {},67,6,wait  ({command}),66,7,wait (command <COMMAND_ID>),66,11,wait <*>,wait (command <*>),waiting (command <*>),waiting for command <*>,wait (<*>),wait (command <COMMAND_ID>)
47,143923,node-195,action,start,1077816813,1,wait  (command 2354),E45,wait (command <*>),wait  {command},66,6,waiting for command 2354 to complete...,67,13,waiting for command 2354,66,10,wait {command_number},67,7,wait (command {}),66,7,{0},66,4,wait <*>,waiting for command <*> to complete...,waiting for command <*>,wait <*>,wait (command <*>),<*>
48,146443,node-123,action,start,1077817656,1,wait  (command 2347),E45,wait (command <*>),wait  {command},66,6,waiting for command 2347 to finish...,67,13,wait 2347,66,7,wait  (command {placeholder}),67,8,wait ({command}),66,6,wait (command {{command}}),66,8,wait <*>,waiting for command <*> to finish...,wait <*>,wait (command <*>),wait (<*>),wait (command {<*>})
49,157583,node-196,action,start,1077873102,1,boot  (command 2368),E4,boot (command <*>),boot  (command {command_id}),66,10,boot  (command 2368),67,11,boot  (command 2368),66,11,boot {command},67,5,boot  (command {command}),66,9,boot [cmd],66,6,boot (command <*>),boot (command <*>),boot (command <*>),boot <*>,boot (command <*>),boot [cmd]
50,160960,node-3,action,start,1077875823,1,boot  (command 2392),E4,boot (command <*>),boot  (command {command_id}),66,10,boot (command 2392),67,10,boot,66,2,boot  ({command}),67,6,boot ({command}),66,6,{cmd} ({time}),66,8,boot (command <*>),boot (command <*>),boot,boot (<*>),boot (<*>),<*> (<*>)
51,162927,node-2,action,start,1077877886,1,boot  (command 2406),E4,boot (command <*>),boot  ({command}),66,6,boot (command 2406),67,10,boot,66,2,boot {command},67,5,boot (command <{placeholders}>),66,10,boot [command],66,6,boot (<*>),boot (command <*>),boot,boot <*>,boot (command <*>),boot [command]
52,163146,node-206,action,start,1077878060,1,boot  (command 2417),E4,boot (command <*>),boot  (command {command_id}),66,10,booting command 2417,67,9,booting,66,3,boot {pid} ({cmd}),67,8,boot  (command {command_id}),66,11,{hostname} boot  (command {cmd}),66,13,boot (command <*>),booting command <*>,booting,boot <*> (<*>),boot (command <*>),<*> boot (command <*>)
53,164418,node-45,action,start,1077881141,1,boot  (command 2423),E4,boot (command <*>),boot  (command {command_id}),66,10,booting command <number>,67,7,boot {placeholders},66,7,boot  ({command}),67,6,boot  ({command}),66,7,{command},66,4,boot (command <*>),booting command <number>,boot <*>,boot (<*>),boot (<*>),<*>
54,165793,node-89,action,start,1077881713,1,wait  (command 2424),E45,wait (command <*>),wait  {command},66,6,wait  command  ,67,5,wait  (command 2424),66,11,wait {time} (command {command}),67,10,wait <placeholder>,66,5,wait  {command},66,6,wait <*>,wait command,wait (command <*>),wait <*> (command <*>),wait <placeholder>,wait <*>
55,177730,node-200,action,start,1077894469,1,wait  (command 2449),E45,wait (command <*>),wait  {command},66,6,waiting for command 2449 to finish...,67,13,wait  (command 2449),66,11,waiting for command {number},67,8,wait ({cmd}),66,6,wait  (command <command_id>),66,11,wait <*>,waiting for command <*> to finish...,wait (command <*>),waiting for command <*>,wait (<*>),wait (command <command_id>)
